UserID ChannelID diff(StartTime(s)) Duration(ms) FS=1 LS=1
128889 3   0.014       2244.751    1 1 	   
30518  8   0.010       466.118     1 1 	   
2221   115 0.050       55.505      1 1 	   
192360 7   0.013       3762.333    1 1 	   
89387  171 0.003       2918.856    1 0 	   
56450  114 0.014       319.249     1 1 	   
122143 17  0.026       8.429       0 1 	   
194435 52  0.017       411.243     1 1 	   
86537  8   0.013       270.097     1 1 	   
169512 84  0.000       9.382       1 1 	   
61664  110 0.024       452.694     1 1 	   
91242  5   0.020       25.172      1 1 	   
156551 5   0.006       5.537       0 1 	   
104777 89  0.004       25.544      1 1 	   
112402 83  0.013       42.258      1 1 	   
166939 38  0.000       335.130     1 1 	   
93885  73  0.030       1796.758    1 1 	   
169677 11  0.023       284.207     1 1 	   
125820 38  0.060       2408.878    1 1 	   
97986  44  0.020       5.466       1 1 	   
35820  71  0.034       3343.418    1 1 	   
182752 108 0.013       41.472      1 1 	   
4124   46  0.010       6.255       0 1 	   
4466   38  0.047       3601.129    1 1 	   
154725 37  0.000       11.043      1 1 	   
67341  111 0.050       5.404       0 1 	   
168047 94  0.046       944.668     1 1 	   
24952  37  0.037       532.874     1 1 	   
98118  77  0.007       32.907      1 1 	   
94369  114 0.006       434.948     1 1 	   
206137 37  0.054       5667.834    1 1 	   
127792 3   0.023       213.445     1 1 	   
33366  98  0.017       5.792       0 1 	   
8456   62  0.003       19.755      1 1 	   
168028 109 0.007       49.129      1 1 	   
81687  93  0.003       9.353       1 1 	   
133089 71  0.023       6.756       1 1 	   
209391 78  0.027       62.203      1 1 	   
31911  6   0.007       5.347       1 1 	   
200592 171 0.026       7.648       1 0 	   
198172 4   0.004       6.998       1 1 	   
40259  42  0.010       5.610       0 1 	   
68594  77  0.010       332.642     1 1 	   
181504 3   0.013       30.247      1 1 	   
149992 66  0.017       6.784       1 1 	   
199338 53  0.020       24.602      1 1 	   
208502 49  0.006       7.263       1 1 	   
6840   122 0.010       19.704      1 1 	   
35994  14  0.020       663.360     1 1 	   
81132  71  0.007       6.809       1 1 	   
218353 3   0.047       14.618      1 1 	   
167638 70  0.016       49.125      1 1 	   
104444 96  0.020       5.069       1 1 	   
6072   17  0.004       18543.367   1 1 	   
113450 8   0.043       310.078     1 1 	   
76531  89  0.007       6.021       0 1 	   
215382 82  0.030       3984.867    1 1 	   
54098  108 0.016       283.626     1 1 	   
9207   53  0.014       72.757      1 1 	   
195430 54  0.006       8.947       1 1 	   
97087  48  0.047       2159.274    1 1 	   
128791 109 0.033       89.302      1 1 	   
115803 95  0.010       5.062       0 1 	   
36228  53  0.004       9.601       1 1 	   
161733 21  0.000       5.031       1 1 	   
96876  92  0.013       15.211      1 1 	   
217210 6   0.033       11.150      1 1 	   
130599 109 0.117       5255.938    1 1 	   
73258  80  0.030       2204.047    1 1 	   
41756  64  0.063       8.799       1 1 	   
41305  3   0.004       8.405       1 1 	   
69864  171 0.056       33.017      1 0 	   
151846 77  0.080       5.401       0 1 	   
113965 51  0.050       130.506     1 1 	   
122405 38  0.017       17.695      1 1 	   
186792 171 0.000       94.187      1 0 	   
53802  3   0.017       1754.345    1 1 	   
133013 54  0.006       12.386      0 1 	   
64027  50  0.024       7.703       1 1 	   
194202 8   0.003       6.201       1 1 	   
158193 51  0.067       5.610       1 1 	   
121095 71  0.000       5.274       0 1 	   
206896 91  0.010       10.611      1 1 	   
200671 82  0.010       14.951      0 1 	   
58601  66  0.020       1952.055    1 1 	   
163236 66  0.003       48.736      1 1 	   
186820 10  0.007       51.007      1 1 	   
60092  7   0.066       7.132       1 1 	   
134115 3   0.020       259.351     1 1 	   
56552  171 0.004       2451.639    1 0 	   
192135 14  0.010       422.518     1 1 	   
185283 3   0.000       18.474      1 1 	   
102513 44  0.043       15.677      1 1 	   
136900 36  0.037       531.690     1 1 	   
37105  71  0.010       8.992       1 1 	   
197582 66  0.006       835.491     1 1 	   
126103 46  0.054       49.872      1 1 	   
17873  82  0.003       6.580       1 1 	   
58405  11  0.000       6.783       1 1 	   
5875   108 0.033       6.947       1 1 	   
115658 94  0.044       10.251      0 1 	   
151166 75  0.000       9.657       0 1 	   
8957   66  0.010       28.662      0 1 	   
42169  56  0.006       22.973      1 1 	   
203559 16  0.007       6.768       1 1 	   
204513 50  0.010       13.378      1 1 	   
42230  4   0.003       364.291     1 1 	   
118429 9   0.014       31.666      1 1 	   
69579  108 0.026       9.845       0 1 	   
96039  51  0.014       7.022       1 1 	   
36100  73  0.043       848.171     1 1 	   
115103 4   0.003       998.797     1 1 	   
76325  6   0.027       14.396      1 1 	   
90253  109 0.093       1494.408    1 1 	   
144346 3   0.017       72.500      1 1 	   
137949 36  0.013       6063.478    1 1 	   
130790 51  0.004       13.694      1 1 	   
215959 7   0.080       7.948       1 1 	   
16475  62  0.026       4143.134    1 1 	   
73752  37  0.004       12.438      1 1 	   
40520  3   0.020       33626.126   1 1 	   
161410 96  0.123       18.776      1 1 	   
180216 17  0.083       3031.806    1 1 	   
109779 54  0.000       535.447     1 1 	   
209619 32  0.010       11.635      1 1 	   
60176  54  0.004       9.496       1 1 	   
162156 12  0.003       29.462      1 1 	   
185812 171 0.043       32.361      1 0 	   
104477 71  0.010       77.725      1 1 	   
11954  149 0.027       37.791      1 1 	   
111430 71  0.023       113.938     1 1 	   
26582  12  0.067       5.508       1 1 	   
180495 66  0.027       243.382     1 1 	   
67495  3   0.036       462.445     1 1 	   
71897  4   0.034       24.411      1 1 	   
113289 71  0.050       6.438       0 1 	   
158515 112 0.006       28.538      1 1 	   
142762 52  0.010       392.609     1 1 	   
125110 73  0.004       247.047     1 1 	   
220643 73  0.010       2598.403    1 1 	   
136246 77  0.003       120.868     1 1 	   
115587 15  0.010       6488.756    1 1 	   
191382 52  0.003       6.116       0 1 	   
113871 66  0.000       11.048      1 1 	   
31391  38  0.004       75.173      1 1 	   
81299  46  0.000       33.936      1 1 	   
21337  43  0.053       17.472      1 1 	   
195148 112 0.017       200.245     1 1 	   
210210 62  0.020       414.836     1 1 	   
26212  36  0.050       257.692     1 1 	   
